nflid,displayname,position,playercollegename
496988,"Bryan Bulaga",OT,Iowa
2495888,"Marcedes Lewis",TE,UCLA
2506363,"Aaron Rodgers",QB,California
2540183,"David Bakhtiari",T,Colorado
2541898,"Lane Taylor",G,"Oklahoma State"
2543495,"Davante Adams",WR,"Fresno State"
2543631,"Corey Linsley",C,"Ohio State"
2543740,"Billy Turner",OG,"North Dakota State"
2555218,"Danny Vitale",FB,Northwestern
2558116,"Aaron Jones",RB,"Texas-El Paso"
2560907,"Marquez Valdes-Scantling",WR,"South Florida"
2495108,"Prince Amukamara",CB,Nebraska
2532961,"Danny Trevathan",ILB,Kentucky
2533433,"Akiem Hicks",DT,"Regina, Can."
2543463,"Khalil Mack",OLB,Buffalo
2543470,"Ha Ha Clinton-Dix",FS,Alabama
2543681,"Kyle Fuller",CB,"Virginia Tech"
2552489,"Eddie Goldman",NT,"Florida State"
2555285,"Leonard Floyd",OLB,Georgia
2558176,"Eddie Jackson",FS,Alabama
2560821,"Bilal Nichols",DT,Delaware
2560877,"Roquan Smith",LB,Georgia
2506789,"Tramon Williams",CB,"Louisiana Tech"
2552276,"Preston Smith",OLB,"Mississippi State"
2552279,"Za'Darius Smith",OLB,Kentucky
2552385,"Adrian Amos",FS,"Penn State"
2555161,"Blake Martinez",ILB,Stanford
2555274,"Dean Lowry",DL,Northwestern
2555282,"Kenny Clark",NT,UCLA
2557876,"Montravius Adams",DL,Auburn
2560952,"Jaire Alexander",CB,Louisville
2560982,"Tony Brown",CB,Alabama
2562724,"Darnell Savage",S,Maryland
2533543,"Bobby Massie",T,Mississippi
2539933,"Kyle Long",OG,Oregon
2543509,"Allen Robinson",WR,"Penn State"
2550169,"Charles Leno Jr.",T,"Boise State"
2550617,"Taylor Gabriel",WR,"Abilene Christian"
2553439,"Mike Davis",RB,"South Carolina"
2555132,"Cody Whitehair",OG,"Kansas State"
2558008,"Mitchell Trubisky",QB,"North Carolina"
2558144,"Adam Shaheen",TE,Ashland
2560810,"Anthony Miller",WR,Memphis
2561035,"James Daniels",C,Iowa
497236,"Jimmy Graham",TE,Miami
2556460,"Geronimo Allison",WR,Illinois
2495343,"Buster Skrine",CB,Chattanooga
2557996,"Kevin King",CB,Washington
2561227,"Tyler Lancaster",DT,Northwestern
2540145,"Cordarrelle Patterson",WR,Tennessee
2558250,"Tarik Cohen",RB,"North Carolina A&T"
2562502,"David Montgomery",RB,"Iowa State"
2560939,"Javon Wims",WR,Georgia
2561207,"Raven Greene",FS,"James Madison"
2556478,"Ben Braunecker",TE,Harvard
2535866,"Bradley Sowell",TE,Mississippi
2555340,"Kyler Fackrell",OLB,"Utah State"
2558204,"Jamaal Williams",RB,"Brigham Young"
2541479,"Nick Williams",DT,Samford
2556665,"Roy Robertson-Harris",DE,"Texas-El Paso"
2559270,"Robert Tonyan",TE,"Indiana State"
2553548,"Jake Kumerow",WR,Wisconsin-Whitewater
2559287,"Isaiah Irving",LB,"San Jose State"
2555413,"Trevor Davis",WR,California
2543650,"Aaron Lynch",OLB,"South Florida"
2562957,"Duke Shelley",DB,"Kansas State"
1302,"Aqib Talib",CB,Kansas
80431,"Clay Matthews",OLB,"Southern California"
2495775,"Eric Weddle",FS,Utah
2533050,"Michael Brockers",DT,"Louisiana State"
2543485,"Aaron Donald",DT,Pittsburgh
2552307,"Bryce Hager",ILB,Baylor
2552488,"Marcus Peters",CB,Washington
2553431,"Dante Fowler",OLB,Florida
2556593,"Cory Littleton",ILB,Washington
2558183,"John Johnson",SS,"Boston College"
2561079,"Sebastian Joseph-Day",DT,Rutgers
2495455,"Cam Newton",QB,Auburn
2495700,"Greg Olsen",TE,Miami
2538145,"Greg Van Roten",G,Pennsylvania
2543606,"Trai Turner",G,"Louisiana State"
2550155,"Matt Paradis",C,"Boise State"
2552357,"Daryl Williams",T,Oklahoma
2552622,"Chris Manhertz",TE,Canisius
2557871,"Taylor Moton",T,"Western Michigan"
2557997,"Christian McCaffrey",RB,Stanford
2558066,"Curtis Samuel",WR,"Ohio State"
2560813,"D.J. Moore",WR,Maryland
2560894,"Ian Thomas",TE,Indiana
2558833,"Alex Armah",RB,"West Georgia"
2495977,"Andrew Whitworth",T,"Louisiana State"
2540169,"Robert Woods",WR,"Southern California"
2543498,"Brandin Cooks",WR,"Oregon State"
2552363,"Rob Havenstein",T,Wisconsin
2552475,"Todd Gurley",RB,Georgia
2555180,"Austin Blythe",C,Iowa
2555334,"Jared Goff",QB,California
2557898,"Cooper Kupp",WR,"Eastern Washington"
2558194,"Josh Reynolds",WR,"Texas A&M"
2560825,"Joe Noteboom",T,"Texas Christian"
2560954,"Brian Allen",C,"Michigan State"
2507837,"Kyle Love",NT,"Mississippi State"
2530474,"Mario Addison",DE,Troy
2533056,"Luke Kuechly",MLB,"Boston College"
2533435,"Dontari Poe",NT,Memphis
2540152,"Eric Reid",SS,"Louisiana State"
2543830,"Tre Boston",FS,"North Carolina"
2552447,"Shaq Thompson",OLB,Washington
2555175,"James Bradberry",CB,Samford
2556934,"Javien Elliott",CB,"Florida State"
2560753,"Donte Jackson",CB,"Louisiana State"
2562242,"Brian Burns",LB,"Florida State"
2556529,"Morgan Fox",DE,"Colorado State-Pueblo"
2558199,"Tanzel Smart",DT,Tulane
2558830,"Samson Ebukam",OLB,"Eastern Washington"
2540197,"Nickell Robey-Coleman",CB,"Southern California"
2562707,"Taylor Rapp",DB,Washington
2532978,"Jarius Wright",WR,Arkansas
2557889,"Gerald Everett",TE,"South Alabama"
496816,"Gerald McCoy",DT,Oklahoma
2539296,"Kawann Short",DT,Purdue
2553310,"Efe Obada",DE,"No College"
2561009,"Marquis Haynes",DE,Mississippi
2552382,"Malcolm Brown",RB,Texas
2555364,"Tyler Higbee",TE,"Western Kentucky"
2561093,"Jermaine Carter",LB,Maryland
2562313,"Christian Miller",LB,Alabama
2556277,"Marqui Christian",SS,"Midwestern State"
2543799,"Ross Cockrell",CB,Duke
2560775,"Rashaan Gaulden",DB,Tennessee
2562574,"Darrell Henderson",RB,Memphis
2530515,"Chris Hogan",WR,"Monmouth, N.J."
2561154,"Travin Howard",LB,"Texas Christian"
2562251,"Dennis Daley",T,"South Carolina"
2495476,"Jurrell Casey",DT,"Southern California"
2539320,"Kenny Vaccaro",SS,Texas
2540162,"Logan Ryan",CB,Rutgers
2543504,"DaQuan Jones",DE,"Penn State"
2550613,"Malcolm Butler",CB,"West Alabama"
2555158,"Kevin Byard",FS,"Middle Tennessee"
2558005,"Jayon Brown",ILB,UCLA
2558065,"Adoree' Jackson",CB,"Southern California"
2560718,"Rashaan Evans",LB,Alabama
2560784,"Harold Landry",OLB,"Boston College"
2561328,"Sharif Finch",OLB,Temple
2540292,"JC Tretter",T,Cornell
2541312,"Eric Kush",OG,"California, Pa."
2541716,"Chris Hubbard",G,Alabama-Birmingham
2543458,"Greg Robinson",OT,Auburn
2543488,"Jarvis Landry",WR,"Louisiana State"
2543496,"Odell Beckham",WR,"Louisiana State"
2543737,"Joel Bitonio",G,Nevada
2555468,"Rashard Higgins",WR,"Colorado State"
2557986,"David Njoku",TE,Miami
2560800,"Baker Mayfield",QB,Oklahoma
2561021,"Nick Chubb",RB,Georgia
2556368,"Austin Johnson",NT,"Penn State"
2563245,"Isaiah Mack",DT,Chattanooga
2561461,"Dontrell Hilliard",RB,Tulane
497048,"Rodger Saffold",G,Indiana
2532883,"Ben Jones",C,Georgia
2535131,"Dennis Kelly",OT,Purdue
2552339,"Jamil Douglas",OG,"Arizona State"
2552401,"MyCole Pruitt",TE,"Southern Illinois"
2552466,"Marcus Mariota",QB,Oregon
2555279,"Jack Conklin",T,"Michigan State"
2555317,"Tajae Sharpe",WR,Massachusetts
2556075,"Derrick Henry",RB,Alabama
2557848,"Corey Davis",WR,"Western Michigan"
2558207,"Jonnu Smith",TE,"Florida International"
496727,"Morgan Burnett",SS,"Georgia Tech"
2533534,"Olivier Vernon",DE,Miami
2540142,"Sheldon Richardson",DT,Missouri
2543720,"Christian Kirksey",OLB,Iowa
2552389,"Damarious Randall",CB,"Arizona State"
2552697,"Jermaine Whitehead",FS,Auburn
2555166,"Joe Schobert",MLB,Wisconsin
2557836,"Larry Ogunjobi",DT,"North Carolina-Charlotte"
2557965,"Myles Garrett",DE,"Texas A&M"
2560916,"Denzel Ward",CB,"Ohio State"
2562785,"Greedy Williams",DB,"Louisiana State"
2495966,"Delanie Walker",TE,"Central Missouri State"
2558942,"Anthony Firkser",TE,Harvard
2562238,"A.J. Brown",WR,Mississippi
2553895,"Adam Humphries",WR,Clemson
2555173,"Eric Murray",FS,Minnesota
2354,"Wesley Woodyard",ILB,Kentucky
2543765,"Brent Urban",DE,Virginia
2541187,"Demetrius Harris",TE,Wisconsin-Milwaukee
2495469,"Dion Lewis",RB,Pittsburgh
2550565,"Adarius Taylor",MLB,"Florida Atlantic"
2559079,"Devaroe Lawrence",DT,Auburn
2561458,"Daniel Ekuale",DT,"Washington State"
2543692,"Chris Smith",DE,Arkansas
2560893,"Chad Thomas",DE,Miami
2541539,"Daren Bates",ILB,Auburn
2555339,"Kamalei Correa",ILB,"Boise State"
2543637,"Terrance Mitchell",CB,Oregon
2550495,"Justin McCray",G,"Central Florida"
2561054,"Damion Ratley",WR,"Texas A&M"
2550289,"David Fluellen",RB,Toledo
2506314,"Cameron Wake",OLB,"Penn State"
2562666,"Amani Hooker",FS,Iowa
2563327,"D'Ernest Johnson",RB,"South Florida"
2539301,"David Quessenberry",T,"San Jose State"
2553896,"Darius Jennings",WR,Virginia
2555551,"LeShaun Sims",CB,"Southern Utah"
2561033,"Dane Cruikshank",DB,Arizona
2556394,"Chris Milton",CB,"Georgia Tech"
2495466,"Mark Ingram",RB,Alabama
2507188,"Marshal Yanda",G,Iowa
2552402,"Nick Boyle",TE,Delaware
2555204,"Ronnie Stanley",T,"Notre Dame"
2556683,"Matt Skura",C,Duke
2558990,"Patrick Ricard",FB,Maine
2559827,"Bradley Bozeman",C,Alabama
2560757,"Lamar Jackson",QB,Louisville
2560981,"Orlando Brown",T,Oklahoma
2562379,"Marquise Brown",WR,Oklahoma
2562631,"Miles Boykin",WR,"Notre Dame"
496739,"Reshad Jones",SS,Georgia
2552255,"Eric Rowe",CB,Utah
2552434,"Bobby McCain",CB,Memphis
2555539,"Xavien Howard",CB,Baylor
2558001,"Charles Harris",DE,Missouri
2558012,"Davon Godchaux",DT,"Louisiana State"
2560725,"Minkah Fitzpatrick",S,Alabama
2560966,"Jerome Baker",LB,"Ohio State"
2562038,"Sam Eguavoen",LB,"Texas Tech"
2562302,"Jonathan Ledbetter",DE,Georgia
2562782,"Christian Wilkins",DT,Clemson
2550256,"Willie Snead",WR,"Ball State"
2561324,"Gus Edwards",RB,Rutgers
2550597,"Seth Roberts",WR,"West Alabama"
2560747,"Hayden Hurst",TE,"South Carolina"
2560957,"Mark Andrews",TE,Oklahoma
2562407,"Justice Hill",RB,"Oklahoma State"
2539231,"John Jenkins",NT,Georgia
2558031,"Avery Moss",DE,"Youngstown State"
2558070,"Raekwon McMillan",LB,"Ohio State"
2495201,"Pernell McPhee",OLB,"Mississippi State"
2508080,"Earl Thomas",FS,Texas
2508107,"Jimmy Smith",CB,Colorado
2540164,"Tony Jefferson",SS,Oklahoma
2541302,"Brandon Williams",DT,"Missouri Southern"
2555505,"Matt Judon",OLB,"Grand Valley State"
2556642,"Patrick Onwuasor",ILB,"Portland State"
2556650,"Michael Pierce",DT,Samford
2557862,"Chris Wormley",DE,Michigan
2558067,"Marlon Humphrey",CB,Alabama
2560947,"Kenny Young",LB,UCLA
2495299,"Daniel Kilgore",C,"Appalachian State"
2506581,"Ryan Fitzpatrick",QB,Harvard
2552403,"Nick O'Leary",TE,"Florida State"
2552409,"DeVante Parker",WR,Louisville
2553705,"Jesse Davis",G,Idaho
2556190,"Jakeem Grant",WR,"Texas Tech"
2557963,"Julie'n Davenport",T,Bucknell
2558181,"Danny Isidora",G,"Miami (Fla.)"
2560880,"Durham Smythe",TE,"Notre Dame"
2560967,"Kalen Ballage",RB,"Arkansas State"
2562255,"Michael Deiter",OG,Wisconsin
2557841,"Tim Williams",OLB,Alabama
2558166,"Tyus Bowser",OLB,Houston
2560963,"Anthony Averett",CB,Alabama
2550353,"Allen Hurns",WR,Miami
2555209,"Chris Moore",WR,Cincinnati
2558248,"Chuck Clark",FS,"Virginia Tech"
2561301,"Chris Board",LB,"North Dakota State"
2555230,"Kenyan Drake",RB,Alabama
2560994,"Mike Gesicki",TE,"Penn State"
4365,"Brandon Carr",CB,"Grand Valley State"
2562805,"Preston Williams",WR,"Colorado State"
2559283,"Jomal Wiltz",CB,"Iowa State"
2562959,"Chandler Cox",FB,Auburn
2561226,"Chris Lammons",DB,"South Carolina"
2508004,"Anthony Levine",DB,"Tennessee State"
2543724,"Walt Aikens",CB,Liberty
2533033,"Robert Griffin III",QB,Baylor
2563100,"Patrick Mekari",T,California
2561256,"Steven Parker",DB,Oklahoma
2532792,"Justin Bethel",CB,Presbyterian
2555380,"Cyrus Jones",CB,Alabama
2560715,"DeShon Elliott",DB,Texas
2560858,"Josh Rosen",QB,UCLA
2560915,"Mark Walton",HB,"Miami (Fla.)"
2550210,"James Hurst",G,"North Carolina"
2557906,"Vince Biegel",LB,Wisconsin
2561312,"James Crawford",LB,Illinois
496796,"Jerry Hughes",DE,"Texas Christian"
2539240,"Micah Hyde",SS,Iowa
2539290,"Jordan Poyer",FS,"Oregon State"
2539329,"Star Lotulelei",DT,Utah
2543503,"Trent Murphy",DE,Stanford
2557867,"Tre'Davious White",CB,"Louisiana State"
2557969,"Matt Milano",OLB,"Boston College"
2560713,"Tremaine Edmunds",LB,"Virginia Tech"
2560766,"Taron Johnson",CB,"Weber State"
2560914,"Levi Wallace",CB,Alabama
2562322,"Ed Oliver",DT,Houston
2495655,"Ryan Kalil",C,USC
2532922,"Kelechi Osemele",G,"Iowa State"
2533442,"Kelvin Beachum",T,"Southern Methodist"
2539247,"Brian Winters",G,"Kent State"
2540175,"Le'Veon Bell",RB,"Michigan State"
2541316,"Ryan Griffin",TE,Connecticut
2543828,"Quincy Enunwa",WR,Nebraska
2552415,"Jamison Crowder",WR,Duke
2555193,"Brandon Shell",T,"South Carolina"
2556462,"Robby Anderson",WR,Temple
2561036,"Sam Darnold",QB,"Southern California"
2535964,"Josh Bellamy",WR,Louisville
2552492,"Jordan Phillips",DT,Oklahoma
2555252,"Shaq Lawson",DE,Clemson
2560840,"Harrison Phillips",DT,Stanford
2562672,"Darryl Johnson",DE,"North Carolina A&T"
2495347,"Lee Smith",TE,Marshall
2506404,"Frank Gore",RB,Miami
2543847,"John Brown",WR,"Pittsburg State"
2552343,"Jon Feliciano",G,Miami
2552668,"Mitch Morse",C,Missouri
2553824,"Quinton Spain",G,"West Virginia"
2557863,"Zay Jones",WR,"East Carolina"
2557875,"Dion Dawkins",T,Temple
2560955,"Josh Allen",QB,Wyoming
2562266,"Cody Ford",T,Oklahoma
2562750,"Tommy Sweeney",TE,"Boston College"
2507590,"Steve McLendon",NT,Troy
2532877,"Trumaine Johnson",CB,Montana
2543464,"C.J. Mosley",ILB,Alabama
2552272,"Henry Anderson",DE,Stanford
2552486,"Leonard Williams",DE,"Southern California"
2553353,"Darryl Roberts",CB,Marshall
2553657,"Neville Hewitt",OLB,Marshall
2555256,"Jordan Jenkins",OLB,Georgia
2557979,"Jamal Adams",SS,"Louisiana State"
2557995,"Marcus Maye",FS,Florida
2558963,"Harvey Langi",LB,"Brigham Young"
2506268,"Lorenzo Alexander",OLB,California
2562777,"Trevon Wesco",TE,"West Virginia"
2535698,"Cole Beasley",WR,"Southern Methodist"
2555244,"Bronson Kaufusi",DE,"Brigham Young"
2556445,"Brian Poole",CB,Florida
2558165,"Tarell Basham",LB,Ohio
2562681,"Dawson Knox",TE,Mississippi
2561366,"Frankie Luvu",LB,"Washington State"
2560818,"Siran Neal",DB,"Jacksonville State"
2530763,"Patrick DiMarco",FB,"South Carolina"
2560729,"Robert Foster",WR,Alabama
2562599,"Quinnen Williams",NT,Alabama
2562734,"Devin Singletary",RB,"Florida Atlantic"
2561137,"Trenton Cannon",RB,"Virginia State"
2552429,"Ty Montgomery",RB,Stanford
2538176,"Ty Nsekhe",T,"Texas State"
2562496,"Blake Cashman",LB,Minnesota
2553900,"Daniel Brown",TE,"James Madison"
2506706,"Donald Penn",T,"Utah State"
2532888,"Case Keenum",QB,Houston
2543489,"Morgan Moses",T,Virginia
2543491,"Paul Richardson",WR,Colorado
2552032,"Brandon Scherff",G,Iowa
2552452,"Ereck Flowers",T,Miami
2557886,"Jeremy Sprinkle",TE,Arkansas
2558037,"Chase Roullier",C,Wyoming
2560847,"Trey Quinn",WR,"Southern Methodist"
2561000,"Derrius Guice",RB,LSU
2562489,"Terry McLaurin",WR,"Ohio State"
79848,"Malcolm Jenkins",SS,"Ohio State"
496788,"Brandon Graham",DE,Michigan
2532800,"Nigel Bradham",OLB,"Florida State"
2532804,"Zach Brown",ILB,"North Carolina"
2532873,"Malik Jackson",DT,Tennessee
2533051,"Fletcher Cox",DT,"Mississippi State"
2534832,"Rodney McLeod",FS,Virginia
2552689,"Ronald Darby",CB,"Florida State"
2557984,"Derek Barnett",DE,Tennessee
2558168,"Rasul Douglas",CB,"West Virginia"
2560795,"Avonte Maddox",CB,Pittsburgh
2495826,"Vernon Davis",TE,Maryland
2562577,"Kelvin Harmon",WR,"North Carolina State"
2543461,"Timmy Jernigan",DT,"Florida State"
2555514,"Hassan Ridgeway",DT,Texas
2495190,"Ryan Kerrigan",OLB,Purdue
2532920,"Josh Norman",CB,"Coastal Carolina"
2539978,"Jon Bostic",ILB,Florida
2552454,"Landon Collins",SS,Alabama
2553796,"Quinton Dunbar",CB,Florida
2555240,"Matthew Ioannidis",DE,Temple
2557844,"Jonathan Allen",DE,Alabama
2558133,"Montae Nicholson",FS,"Michigan State"
2562749,"Montez Sweat",LB,"Mississippi State"
2562858,"Jimmy Moreland",DB,"James Madison"
2562872,"Cole Holcomb",LB,"North Carolina"
1581,"DeSean Jackson",WR,California
2495298,"Jason Kelce",C,Cincinnati
2505827,"Jason Peters",OT,Arkansas
2533039,"Alshon Jeffery",WR,"South Carolina"
2534434,"Brandon Brooks",G,"Miami, O."
2539286,"Lane Johnson",T,Oklahoma
2540158,"Zach Ertz",TE,Stanford
2552600,"Nelson Agholor",WR,"Southern California"
2555259,"Carson Wentz",QB,"North Dakota State"
2555495,"Isaac Seumalo",G,"Oregon State"
2562722,"Miles Sanders",RB,"Penn State"
2506467,"Darren Sproles",RB,"Kansas State"
2560995,"Dallas Goedert",TE,"South Dakota State"
2532825,"Vinny Curry",DE,Marshall
2540011,"Chris Thompson",RB,"Florida State"
2557958,"Sidney Jones",CB,Washington
2556614,"Cassanova McKinzy",LB,Auburn
2557853,"Ryan Anderson",OLB,Alabama
2560871,"Tim Settle",NT,"Virginia Tech"
2560834,"Daron Payne",NT,Alabama
2555418,"Jordan Howard",RB,Indiana
2558175,"Nate Gerry",LB,Nebraska
2560889,"Josh Sweat",DE,"Florida State"
2561003,"Shaun Dion Hamilton",LB,Alabama
2559150,"Corey Clement",RB,Wisconsin
306,"Dominique Rodgers-Cromartie",CB,"Tennessee State"
2558007,"Caleb Brantley",DT,Florida
2560886,"Greg Stroman",DB,"Virginia Tech"
2558262,"Mack Hollins",WR,"North Carolina"
2562643,"Andre Dillard",T,"Washington State"
2555196,"Halapoulivaati Vaitai",T,"Texas Christian"
2562466,"J.J. Arcega-Whiteside",WR,Stanford
2495493,"Justin Houston",DE,Georgia
2539310,"Margus Hunt",DT,"Southern Methodist"
2543811,"Pierre Desir",CB,Lindenwood
2550646,"Denico Autry",DT,"Mississippi State"
2552386,"Clayton Geathers",FS,"Central Florida"
2558060,"Malik Hooker",FS,"Ohio State"
2558131,"Al-Quadin Muhammad",DE,Miami
2558851,"Anthony Walker",ILB,Northwestern
2558976,"Kenny Moore",CB,"Valdosta State"
2560789,"Darius Leonard",LB,"South Carolina State"
2562614,"Rock Ya-Sin",DB,Temple
2495216,"Mike Pouncey",C,Florida
2506121,"Philip Rivers",QB,"North Carolina State"
2532790,"Travis Benjamin",WR,"Miami (Fla.)"
2540154,"Keenan Allen",WR,California
2543732,"Michael Schofield",G,Michigan
2555341,"Hunter Henry",TE,Arkansas
2557873,"Dan Feeney",G,Indiana
2558026,"Sam Tevi",T,Utah
2558846,"Mike Williams",WR,Clemson
2559169,"Austin Ekeler",RB,"Western State, Colo."
2561544,"Trent Scott",T,Grambling
2495137,"Anthony Castonzo",T,"Boston College"
2532865,"T.Y. Hilton",WR,"Florida International"
2540232,"Jack Doyle",TE,"Western Kentucky"
2552467,"Mark Glowinski",G,"West Virginia"
2555191,"Ryan Kelly",C,Alabama
2555261,"Jacoby Brissett",QB,"North Carolina State"
2556396,"Chester Rogers",WR,"Grambling State"
2558123,"Marlon Mack",RB,"South Florida"
2558877,"Zach Pascal",WR,"Old Dominion"
2560820,"Quenton Nelson",G,"Notre Dame"
2560876,"Braden Smith",G,Auburn
2495677,"Brandon Mebane",NT,California
2506352,"Thomas Davis",OLB,Georgia
2532861,"Casey Hayward",CB,Vanderbilt
2532870,"Melvin Ingram",DE,"South Carolina"
2550842,"Adrian Phillips",SS,Texas
2555249,"Joey Bosa",DE,"Ohio State"
2557927,"Desmond King",CB,Iowa
2558182,"Rayshawn Jenkins",SS,Miami
2559164,"Michael Davis",CB,"Brigham Young"
2560769,"Justin Jones",DT,"North Carolina State"
2560928,"Kyzir White",LB,"West Virginia"
2543466,"Eric Ebron",TE,"North Carolina"
2558832,"Mo Alie-Cox",TE,"Virginia Commonwealth"
2560987,"Deon Cain",WR,Clemson
2560826,"Uchenna Nwosu",LB,"Southern California"
2561149,"Matthew Adams",ILB,Houston
2495288,"Virgil Green",TE,Nevada
2530700,"Dontrelle Inman",WR,Virginia
2555220,"Derek Watt",FB,Wisconsin
2560756,"Justin Jackson",RB,Northwestern
2555248,"Jihad Ward",DT,Illinois
2558766,"Grover Stewart",DT,"Albany State, Ga."
2560905,"Kemoko Turay",DE,Rutgers
2562229,"Ben Banogu",DE,"Texas Christian"
2552458,"Devin Funchess",WR,Michigan
2540003,"Damion Square",NT,Alabama
2560719,"Brandon Facyson",CB,"Virginia Tech"
2562495,"Parris Campbell",WR,"Ohio State"
2562763,"Jerry Tillery",DT,"Notre Dame"
2562416,"Bobby Okereke",LB,Stanford
2562602,"Khari Willis",DB,"Michigan State"
2557890,"Forrest Lamp",OG,"Western Kentucky"
2560742,"Nyheim Hines",RB,"North Carolina State"
2557860,"Isaac Rochell",DE,"Notre Dame"
2543707,"Jaylen Watkins",SS,Florida
496762,"Geno Atkins",DT,Georgia
496780,"Carlos Dunlap",DE,Florida
2533060,"Dre Kirkpatrick",CB,Alabama
2539233,"Shawn Williams",SS,Georgia
2539338,"B.W. Webb",CB,"William & Mary"
2543814,"Preston Brown",MLB,Louisville
2555528,"Nick Vigil",OLB,"Utah State"
2556367,"William Jackson",CB,Houston
2557851,"Ryan Glasgow",DT,Michigan
2560745,"Sam Hubbard",DE,"Ohio State"
2560970,"Jessie Bates",S,"Wake Forest"
808,"Duane Brown",T,"Virginia Tech"
2532975,"Russell Wilson",QB,Wisconsin
2540166,"D.J. Fluker",OG,Alabama
2541966,"Jaron Brown",WR,Clemson
2550135,"Justin Britt",C,Missouri
2552430,"Tyler Lockett",WR,"Kansas State"
2555395,"Germain Ifedi",G,"Texas A&M"
2557891,"Ethan Pocic",C,"Louisiana State"
2558865,"Chris Carson",RB,"Oklahoma State"
2561046,"Will Dissly",TE,Washington
2562685,"D.K. Metcalf",WR,Mississippi
71465,"Andre Smith",T,Alabama
2495143,"Andy Dalton",QB,"Texas Christian"
2550208,"Trey Hopkins",G,Texas
2552335,"Bobby Hart",OT,"Florida State"
2552559,"C.J. Uzomah",TE,Auburn
2553436,"John Miller",G,Louisville
2555466,"Tyler Boyd",WR,Pittsburgh
2557976,"Joe Mixon",HB,Oklahoma
2558010,"John Ross",WR,Washington
2562679,"Mike Jordan",OG,"Ohio State"
2563238,"Damion Willis",WR,Troy
496881,"Al Woods",DT,LSU
2495252,"K.J. Wright",OLB,"Mississippi State"
2532890,"Mychal Kendricks",OLB,California
2532966,"Bobby Wagner",MLB,"Utah State"
2539243,"Bradley McDougald",SS,Kansas
2543456,"Jadeveon Clowney",DE,"South Carolina"
2555358,"Quinton Jefferson",DE,Maryland
2557881,"Tedric Thompson",FS,Colorado
2558259,"Shaquill Griffin",CB,"Central Florida"
2560728,"Tre Flowers",CB,"Oklahoma State"
2562914,"Bryan Mone",NT,Michigan
2540148,"Tyler Eifert",TE,"Notre Dame"
2556880,"Branden Jackson",DE,"Texas Tech"
2560998,"Rasheem Green",DE,"Southern California"
2561195,"Poona Ford",DT,Texas
2555267,"Andrew Billings",DT,Baylor
2556524,"George Fant",OT,"Western Kentucky"
2555355,"Clayton Fejedelem",FS,Illinois
2557901,"Carl Lawson",DE,Auburn
2550312,"Kerry Wynn",DE,Richmond
2559003,"Josh Tupou",DT,Colorado
2495262,"Nick Bellore",FB,"Central Michigan"
2560835,"Rashaad Penny",RB,"San Diego State"
2561671,"Malik Turner",WR,Illinois
2562702,"Germaine Pratt",LB,"North Carolina State"
2555289,"Nick Vannett",TE,"Ohio State"
2540156,"Giovani Bernard",HB,"North Carolina"
2555419,"Pharoh Cooper",WR,"South Carolina"
2562720,"Drew Sample",TE,Washington
