nflid,displayname,position,playercollegename
2562464,"Ugo Amadi",FS,Oregon
2556817,"Tony McRae",CB,"North Carolina A&T"
2562612,"Renell Wren",DT,"Arizona State"
2556519,"Alex Erickson",WR,Wisconsin
2495507,"Richard Sherman",CB,Stanford
2543494,"Dee Ford",DE,Auburn
2552391,"Jaquiski Tartt",FS,Samford
2552493,"Arik Armstead",DE,Oregon
2552592,"Kwon Alexander",MLB,LSU
2555275,"DeForest Buckner",DE,Oregon
2558157,"Ahkello Witherspoon",CB,Colorado
2558265,"D.J. Jones",DT,Mississippi
2560917,"Fred Warner",LB,"Brigham Young"
2561117,"Tarvarius Moore",DB,"Southern Mississippi"
2562428,"Dre Greenlaw",LB,Arkansas
2507716,"Demar Dotson",OT,"Southern Mississippi"
2541159,"Ryan Jensen",C,"Colorado State-Pueblo"
2543468,"Mike Evans",WR,"Texas A&M"
2552033,"Jameis Winston",QB,"Florida State"
2552332,"Ali Marpet",G,Hobart
2552460,"Donovan Smith",T,"Penn State"
2556466,"Peyton Barber",RB,Auburn
2557856,"O.J. Howard",TE,Alabama
2558105,"Chris Godwin",WR,"Penn State"
2559044,"Antony Auclair",TE,"Laval (Canada)"
2560991,"Alex Cappa",G,"Humboldt State"
2495746,"Joe Staley",T,"Central Michigan"
2508140,"Mike Person",C,"Montana State"
2539964,"Marquise Goodwin",WR,Texas
2540230,"Kyle Juszczyk",FB,Harvard
2543705,"Weston Richburg",C,"Colorado State"
2543801,"Jimmy Garoppolo",QB,"Eastern Illinois"
2552345,"Laken Tomlinson",G,Duke
2552453,"Tevin Coleman",RB,Indiana
2558266,"George Kittle",TE,Iowa
2560805,"Mike McGlinchey",OT,"Notre Dame"
2562721,"Deebo Samuel",WR,"South Carolina"
494307,"Darian Stewart",FS,"South Carolina"
496861,"Ndamukong Suh",DT,Nebraska
2532828,"Lavonte David",OLB,Nebraska
2540176,"William Gholston",DE,"Michigan State"
2550541,"Shaquil Barrett",OLB,"Colorado State"
2555270,"Carl Nassib",OLB,"Penn State"
2555299,"Vernon Hargreaves III",CB,Florida
2560909,"Vita Vea",DT,Washington
2560930,"Jordan Whitehead",DB,Pittsburgh
2561039,"Carlton Davis",CB,Auburn
2562781,"Devin White",LB,"Louisiana State"
2561060,"Ross Dwelley",TE,"San Diego"
2543884,"Beau Allen",DT,Wisconsin
2550654,"K'Waun Williams",CB,Pittsburgh
2552597,"Breshad Perriman",WR,"Central Florida"
2559013,"Bobo Wilson",WR,"Florida State"
2555241,"Sheldon Day",DT,"Notre Dame"
2555251,"Ronald Blair",DE,"Appalachian State"
2558018,"Solomon Thomas",DE,Stanford
2560770,"Ronald Jones",RB,"Southern California"
2562629,"Nick Bosa",DE,"Ohio State"
2550656,"Cameron Brate",TE,Harvard
2559362,"Dare Ogunbowale",RB,Wisconsin
2552684,"Mark Nzeocha",MLB,Wyoming
2558918,"Matt Breida",RB,"Georgia Southern"
2552674,"Rakeem Nunez-Roches",DT,"Southern Mississippi"
2562507,"Anthony Nelson",OLB,Iowa
2560761,"Richie James",WR,"Middle Tennessee"
2560884,"M.J. Stewart",CB,"North Carolina"
2553728,"Raheem Mostert",RB,Purdue
2560836,"Dante Pettis",WR,Washington
2543769,"Deone Bucannon",ILB,"Washington State"
2540203,"Levine Toilolo",TE,Stanford
2558914,"Kendrick Bourne",WR,"Eastern Washington"
2561072,"Emmanuel Moseley",CB,Tennessee
2562635,"Sean Murphy-Bunting",DB,"Central Michigan"
2561078,"Jullian Taylor",DT,Temple
2540185,"Mike Edwards",FS,Kentucky
496733,"Joe Haden",CB,Florida
2508109,"Cameron Heyward",DT,"Ohio State"
2540221,"Vince Williams",ILB,"Florida State"
2543483,"Stephon Tuitt",DE,"Notre Dame"
2552265,"Steven Nelson",CB,"Oregon State"
2552289,"Bud Dupree",OLB,Kentucky
2555239,"Javon Hargrave",NT,"South Carolina State"
2558064,"T.J. Watt",OLB,Wisconsin
2560712,"Terrell Edmunds",S,"Virginia Tech"
2560778,"Kam Kelly",DB,"San Diego State"
2562243,"Devin Bush",LB,Michigan
238498,"Julian Edelman",WR,"Kent State"
2495131,"Marcus Cannon",T,"Texas Christian"
2504211,"Tom Brady",QB,Michigan
2508101,"James Develin",FB,Brown
2537931,"Josh Gordon",WR,Utah
2552563,"Shaq Mason",G,"Georgia Tech"
2555145,"Ted Karras",C,Illinois
2555281,"Joe Thuney",G,"North Carolina State"
2560751,"Ryan Izzo",TE,"Florida State"
2560809,"Sony Michel",RB,Georgia
2560945,"Isaiah Wynn",T,Georgia
2532789,"Mark Barron",ILB,Alabama
2556559,"Mike Hilton",CB,Mississippi
2532797,"Brandon Bolden",RB,Mississippi
2558849,"Cameron Sutton",CB,Tennessee
2543773,"James White",RB,Wisconsin
2552424,"Phillip Dorsett",WR,Miami
496760,"Tyson Alualu",DE,California
81821,"Ramon Foster",G,Tennessee
497042,"Maurkice Pouncey",C,Florida
2506109,"Ben Roethlisberger",QB,"Miami (Ohio)"
2533043,"David DeCastro",G,Stanford
2540215,"Vance McDonald",TE,Rice
2543614,"Donte Moncrief",WR,Mississippi
2550130,"Alejandro Villanueva",T,Army
2550561,"Matt Feiler",T,Bloomsburg
2557978,"James Conner",RB,Pittsburgh
2558149,"JuJu Smith-Schuster",WR,"Southern California"
2560920,"James Washington",WR,"Oklahoma State"
71251,"Patrick Chung",SS,Oregon
89756,"Jason McCourty",CB,Rutgers
494287,"Devin McCourty",FS,Rutgers
2495481,"Lawrence Guy",DT,"Arizona State"
2507617,"Michael Bennett",DE,"Texas A&M"
2533057,"Dont'a Hightower",MLB,Alabama
2533062,"Stephon Gilmore",CB,"South Carolina"
2539280,"John Simon",DE,"Ohio State"
2539311,"Jamie Collins",OLB,"Southern Mississippi"
2555294,"Shilique Calhoun",LB,"Michigan State"
2556571,"Jonathan Jones",CB,Auburn
2557960,"Ryan Switzer",WR,"North Carolina"
2556805,"Johnny Holton",WR,Cincinnati
2560862,"Jaylen Samuels",RB,"North Carolina State"
2550521,"Xavier Grimble",TE,USC
2541243,"Duron Harmon",FS,Rutgers
2552325,"Danny Shelton",DT,Washington
2558000,"Deatrich Wise",DE,Arkansas
2560754,"J.C. Jackson",DB,Maryland
2561143,"Ja'Whaun Bentley",LB,Purdue
2552266,"Anthony Chickillo",OLB,Miami
2539265,"Rex Burkhead",RB,Nebraska
2558924,"Adam Butler",DT,Vanderbilt
2562607,"Chase Winovich",DE,Michigan
2562492,"Jakobi Meyers",WR,"North Carolina State"
2550154,"Dan McCullers",DT,Tennessee
2558257,"Jermaine Eluemunor",T,"Texas A&M"
2543712,"Terrence Brooks",SS,"Florida State"
2550562,"James Ferentz",C,Iowa
2563329,"Gunner Olszewski",WR,"Bemidji State"
2532889,"Senio Kelemete",G,Washington
2540165,"DeAndre Hopkins",WR,Clemson
2540928,"Darren Fells",TE,California-Irvine
2543730,"Seantrel Henderson",T,"Miami (Fla.)"
2543743,"Carlos Hyde",RB,"Ohio State"
2543862,"Zach Fulton",G,Tennessee
2553502,"DeAndre Carter",WR,"Sacramento State"
2555189,"Nick Martin",C,"Notre Dame"
2555201,"Laremy Tunsil",T,Mississippi
2555346,"Will Fuller",WR,"Notre Dame"
2558063,"Deshaun Watson",QB,Clemson
2495184,"Cameron Jordan",DE,California
2533008,"Demario Davis",ILB,"Arkansas State"
2539982,"A.J. Klein",OLB,"Iowa State"
2552483,"Malcom Brown",DT,Texas
2552484,"P.J. Williams",CB,"Florida State"
2555277,"Eli Apple",CB,"Ohio State"
2555530,"Vonn Bell",FS,"Ohio State"
2558061,"Marshon Lattimore",CB,"Ohio State"
2558847,"Marcus Williams",FS,Utah
2561037,"Marcus Davenport",DE,"Texas-San Antonio"
2563242,"Shy Tuttle",DT,Tennessee
2552461,"Duke Johnson",RB,Miami
2560951,"Jordan Akins",TE,"Central Florida"
2557943,"Trey Hendrickson",DE,"Florida Atlantic"
2560882,"Taylor Stallworth",DT,"South Carolina"
2495488,"J.J. Watt",DE,Wisconsin
2495872,"Johnathan Joseph",CB,"South Carolina"
2532848,"Tashaun Gipson",FS,Wyoming
2533049,"Whitney Mercilus",OLB,Illinois
2543501,"Aaron Colvin",CB,Oklahoma
2543505,"Bradley Roby",CB,"Ohio State"
2550559,"Brandon Dunn",DT,Louisville
2552490,"Benardrick McKinney",ILB,"Mississippi State"
2555388,"D.J. Reader",DT,Clemson
2558094,"Zach Cunningham",ILB,Vanderbilt
2560851,"Justin Reid",SS,Stanford
71265,"Jared Cook",TE,"South Carolina"
2504775,"Drew Brees",QB,Purdue
2507166,"Ted Ginn",WR,"Ohio State"
2539248,"Larry Warford",G,Kentucky
2540228,"Terron Armstead",T,"Arkansas-Pine Bluff"
2552455,"Andrus Peat",T,Stanford
2556370,"Michael Thomas",WR,"Ohio State"
2557959,"Ryan Ramczyk",T,Wisconsin
2558019,"Alvin Kamara",RB,Tennessee
2561224,"Keith Kirkwood",WR,Temple
2562683,"Erik McCoy",C,"Texas A&M"
2557877,"Carlos Watkins",DT,Clemson
2541161,"Latavius Murray",RB,"Central Florida"
2541834,"Josh Hill",TE,"Idaho State"
2558954,"Taysom Hill",QB,"Brigham Young"
2560878,"Tre'Quan Smith",WR,"Central Florida"
2540202,"Kenny Stills",WR,Oklahoma
2556753,"Mitchell Loewen",DE,Arkansas
2552670,"Angelo Blackson",DE,Auburn
2556673,"Brennan Scarlett",OLB,Stanford
2559152,"Dylan Cole",ILB,"Missouri State"
2539303,"Zach Line",FB,"Southern Methodist"
2561092,"Jake Martin",LB,Temple
2558163,"Alex Anzalone",OLB,Florida
2541958,"Jahleel Addae",SS,"Central Michigan"
2562588,"Chauncey Gardner-Johnson",DB,Florida
496735,"Kareem Jackson",CB,Alabama
2495202,"Von Miller",OLB,"Texas A&M"
2530510,"Chris Harris",CB,Kansas
2533026,"Derek Wolfe",DE,Cincinnati
2549926,"Shelby Harris",NT,"Illinois State"
2550167,"Corey Nelson",ILB,Oklahoma
2555502,"Adam Gotsis",DE,"Georgia Tech"
2555550,"Justin Simmons",SS,"Boston College"
2560763,"Josey Jewell",LB,Iowa
2560946,"Isaac Yiadom",DB,"Boston College"
2561020,"Bradley Chubb",DE,"North Carolina State"
2495171,"Rodney Hudson",C,"Florida State"
2540247,"Jordan Devey",T,Memphis
2543499,"Derek Carr",QB,"Fresno State"
2543759,"Ryan Grant",WR,Tulane
2552350,"Trent Brown",T,Florida
2552408,"Darren Waller",TE,"Georgia Tech"
2553460,"Denzelle Good",T,"Mars Hill"
2553913,"Tyrell Williams",WR,"Western Oregon"
2560811,"Kolton Miller",T,UCLA
2562288,"Alec Ingold",RB,Wisconsin
2562377,"Josh Jacobs",RB,Alabama
2562317,"Foster Moreau",TE,LSU
2556278,"Will Parks",FS,Arizona
382,"Joe Flacco",QB,Delaware
497322,"Emmanuel Sanders",WR,"Southern Methodist"
2533454,"Ronald Leary",G,Memphis
2543755,"Ja'Wuan James",OT,Tennessee
2552399,"Jeff Heuerman",TE,"Ohio State"
2555133,"Connor McGovern",C,Missouri
2558014,"Garett Bolles",T,Utah
2559947,"Phillip Lindsay",RB,Colorado
2560734,"Troy Fumagalli",TE,Wisconsin
2562383,"Noah Fant",TE,Iowa
2562714,"Dalton Risner",G,"Kansas State"
2532986,"Tahir Whitehead",OLB,Temple
2533058,"Vontaze Burfict",OLB,"Arizona State"
2540147,"Johnathan Hankins",DT,"Ohio State"
2550437,"Josh Mauro",DE,Stanford
2555342,"Karl Joseph",SS,"West Virginia"
2555394,"Daryl Worley",CB,"West Virginia"
2557972,"Marquel Lee",MLB,"Wake Forest"
2558062,"Gareon Conley",CB,"Ohio State"
2560748,"Maurice Hurst",DT,Michigan
2562263,"Clelin Ferrell",DE,Clemson
2562616,"Johnathan Abram",S,"Mississippi State"
2557894,"DeMarcus Walker",DE,"Florida State"
2562712,"Hunter Renfrow",WR,Clemson
2560888,"Courtland Sutton",WR,"Southern Methodist"
2561002,"DaeSean Hamilton",WR,"Penn State"
2543492,"Lamarcus Joyner",FS,"Florida State"
2560080,"P.J. Hall",DT,"Sam Houston State"
2560733,"Royce Freeman",RB,Oregon
2542009,"Benson Mayowa",DE,Idaho
2553822,"Curtis Riley",FS,"Fresno State"
2560779,"Arden Key",DE,LSU
2558985,"Tim Patrick",WR,Utah
2562439,"Maxx Crosby",DE,"Eastern Michigan"
2559295,"Elijah Wilkinson",T,Massachusetts
2552656,"J.J. Nelson",WR,Alabama-Birmingham
2560832,"Brandon Parker",T,"North Carolina A&T"
2562285,"Justin Hollins",LB,Oregon
2562825,"Malik Reed",OLB,Nevada
2541634,"Mike Purcell",NT,Wyoming
2556885,"Jalen Richard",RB,"Southern Mississippi"
2562380,"Trayvon Mullen",CB,Clemson
2555464,"DeAndre Washington",RB,"Texas Tech"
2540159,"Kevin Minter",MLB,"Louisiana State"
2555307,"Devante Bond",OLB,Oklahoma
2561022,"Jack Cichy",LB,Wisconsin
71269,"Michael Crabtree",WR,"Texas Tech"
71461,"A.Q. Shipley",C,"Penn State"
2506106,"Larry Fitzgerald",WR,Pittsburgh
2533342,"J.R. Sweezy",G,"North Carolina State"
2540195,"Justin Pugh",G,Syracuse
2552626,"D.J. Humphries",OT,Florida
2553435,"David Johnson",RB,"Northern Iowa"
2553499,"Damiere Byrd",WR,"South Carolina"
2556628,"Justin Murray",OT,Cincinnati
2560781,"Christian Kirk",WR,"Texas A&M"
2562382,"Kyler Murray",QB,Oklahoma
496841,"Corey Peters",DT,Kentucky
2505660,"Terrell Suggs",OLB,"Arizona State"
2507917,"Tramaine Brock",CB,Belhaven
2533538,"Chandler Jones",OLB,Syracuse
2539943,"D.J. Swearinger",FS,"South Carolina"
2552315,"Jordan Hicks",MLB,Texas
2553437,"Rodney Gunter",DT,"Delaware State"
2556192,"Joe Walker",MLB,Oregon
2557887,"Haason Reddick",ILB,Temple
2558009,"Budda Baker",FS,Washington
2562318,"Byron Murphy",CB,Washington
2552468,"Maxx Williams",TE,Minnesota
2555178,"Maurice Canady",CB,Virginia
2543868,"Cassius Marsh",LB,UCLA
2562219,"Zach Allen",DE,"Boston College"
89758,"Clinton McDonald",DT,Memphis
2495139,"Charles Clay",TE,Tulsa
2560711,"Chase Edmonds",RB,Fordham
2562677,"KeeSean Johnson",WR,"Fresno State"
2560767,"Chris Jones",CB,Nebraska
2561272,"Trent Sherfield",WR,Vanderbilt
2562760,"Deionte Thompson",S,Alabama
2563016,"Miles Brown",NT,Wofford
2560890,"Auden Tate",WR,"Florida State"
2560938,"Jeff Wilson",RB,"North Texas"
497018,"John Jerry",G,Mississippi
2562927,"Justin Skule",T,Vanderbilt
2543680,"Antone Exum",FS,"Virginia Tech"
2560850,"D.J. Reed",DB,"Kansas State"
2562462,"Azeez Al-Shaair",LB,"Florida Atlantic"
2560843,"Billy Price",C,"Ohio State"
2507865,"Ben Garland",G,"Air Force"
496790,"Everson Griffen",DE,"Southern California"
496802,"Linval Joseph",DT,"East Carolina"
2532948,"Harrison Smith",FS,"Notre Dame"
2540155,"Xavier Rhodes",CB,"Florida State"
2543459,"Anthony Barr",OLB,UCLA
2543706,"Shamar Stephen",NT,Connecticut
2552312,"Eric Kendricks",MLB,UCLA
2552448,"Trae Waynes",CB,"Michigan State"
2552603,"Danielle Hunter",DE,"Louisiana State"
2553655,"Anthony Harris",FS,Virginia
2559012,"Eric Wilson",OLB,Cincinnati
2495438,"Kyle Rudolph",TE,"Notre Dame"
2532820,"Kirk Cousins",QB,"Michigan State"
2533042,"Riley Reiff",T,Iowa
2541142,"Josh Kline",G,"Kent State"
2541785,"Adam Thielen",WR,"Minn. State-Mankato"
2543805,"Dakota Dozier",G,Furman
2552608,"Stefon Diggs",WR,Maryland
2557991,"Dalvin Cook",RB,"Florida State"
2560831,"Brian O'Neill",T,Pittsburgh
2562632,"Garrett Bradbury",C,"North Carolina State"
2562738,"Irv Smith",TE,Alabama
2555522,"B.J. Goodson",ILB,Clemson
2556803,"C.J. Ham",FB,"Augustana, S.D."
2562682,"Alexander Mattison",RB,"Boise State"
2555156,"Jayron Kearse",SS,Clemson
2557845,"Jaleel Johnson",DT,Iowa
2555529,"Stephen Weatherly",DE,Vanderbilt
2562671,"Elgton Jenkins",G,"Mississippi State"
2558920,"Fadol Brown",DE,Mississippi
2561027,"Tyler Conklin",TE,"Central Michigan"
2561482,"Chad Beebe",WR,"Northern Illinois"
2562376,"Rashan Gary",LB,Michigan
2552374,"Ameer Abdullah",RB,Nebraska
2562465,"Bisi Johnson",WR,"Colorado State"
2555545,"Will Redmond",S,"Mississippi State"
2558278,"Ifeadi Odenigbo",DE,Northwestern
2543699,"Kyle Van Noy",OLB,"Brigham Young"
2556119,"Elandon Roberts",MLB,Houston
1037880,"J'Marcus Webb",T,"West Texas A&M"
2562805,"Preston Williams",WR,"Colorado State"
497030,"Marshall Newhouse",T,"Texas Christian"
2553667,"Matt LaCosse",TE,Illinois
2508061,"Antonio Brown",WR,"Central Michigan"
4487,"Matthew Slater",WR,UCLA
2539224,"Tank Carradine",DE,"Florida State"
2550353,"Allen Hurns",WR,Miami
2561058,"Korey Cunningham",T,Cincinnati
2562392,"Byron Cowart",DE,Maryland
2562776,"Ken Webster",DB,Mississippi
2555181,"Evan Boehm",G,Missouri
2560915,"Mark Walton",HB,"Miami (Fla.)"
2553562,"Dean Marlowe",DB,"James Madison"
2495232,"Nate Solder",T,Colorado
2505996,"Eli Manning",QB,Mississippi
2532835,"Rhett Ellison",TE,USC
2532980,"Kevin Zeitler",G,Wisconsin
2535607,"Mike Remmers",T,"Oregon State"
2543590,"Cody Latimer",WR,Indiana
2543708,"Jon Halapio",C,Florida
2550198,"Bennie Fowler",WR,"Michigan State"
2557858,"Evan Engram",TE,Mississippi
2560737,"Will Hernandez",G,"Texas-El Paso"
2560968,"Saquon Barkley",RB,"Penn State"
2541944,"Russell Shepard",WR,LSU
2556762,"Elijhaa Penny",RB,Idaho
2495807,"Antoine Bethea",FS,Howard
2532875,"Janoris Jenkins",CB,"North Alabama"
2540143,"Alec Ogletree",LB,Georgia
2552273,"Markus Golden",OLB,Missouri
2557846,"Dalvin Tomlinson",DT,Alabama
2557980,"Jabrill Peppers",FS,Michigan
2560740,"B.J. Hill",DT,"North Carolina State"
2561015,"Lorenzo Carter",OLB,Georgia
2562227,"Deandre Baker",CB,Georgia
2562301,"Dexter Lawrence",DT,Clemson
2562638,"Ryan Connelly",LB,Wisconsin
2543836,"T.J. Jones",WR,"Notre Dame"
2561001,"Grant Haley",CB,"Penn State"
2562613,"Oshane Ximines",LB,"Old Dominion"
2558129,"Isaiah McKenzie",WR,Georgia
2562734,"Devin Singletary",RB,"Florida Atlantic"
2560806,"R.J. McIntosh",DT,Miami
2555331,"Cody Core",WR,Mississippi
2553744,"Eric Tomlinson",TE,"Texas-El Paso"
2535687,"Michael Thomas",SS,Stanford
2553583,"Olsen Pierre",DT,Miami
2552261,"Kevin Johnson",CB,"Wake Forest"
2550140,"Spencer Long",C,Nebraska
2558077,"Lano Hill",SS,Michigan
497016,"Mike Iupati",OG,Idaho
2555386,"Sean Davis",SS,Maryland
2562248,"L.J. Collier",DE,"Texas Christian"
2557908,"Zach Banner",T,"Southern California"
2562743,"Benny Snell",RB,Kentucky
2539932,"Jamar Taylor",CB,"Boise State"
2555417,"C.J. Prosise",RB,"Notre Dame"
2560860,"Mason Rudolph",QB,"Oklahoma State"
2562674,"Diontae Johnson",WR,Toledo
2560950,"Ola Adeniyi",OLB,Toledo
2560791,"Tyquan Lewis",DT,"Ohio State"
2561044,"Matt Dickerson",DE,UCLA
2560933,"Jordan Wilkins",RB,Mississippi
2557961,"Quincy Wilson",CB,Florida
496937,"Sean Lee",ILB,"Penn State"
2532821,"Tyrone Crawford",DE,"Boise State"
2541832,"Jeff Heath",SS,"Saginaw Valley State"
2543490,"Demarcus Lawrence",DE,"Boise State"
2552568,"Byron Jones",CB,Connecticut
2555310,"Jaylon Smith",MLB,"Notre Dame"
2555400,"Maliek Collins",DT,Nebraska
2556792,"Antwaun Woods",DT,"Southern California"
2557840,"Chidobe Awuzie",CB,Colorado
2558159,"Xavier Woods",FS,"Louisiana Tech"
2560908,"Leighton Vander Esch",LB,"Boise State"
2507164,"Adrian Peterson",RB,Oklahoma
2495435,"Tyron Smith",T,"Southern California"
2505629,"Jason Witten",TE,Tennessee
2536044,"Jamize Olawale",FB,"North Texas"
2540161,"Travis Frederick",C,Wisconsin
2543480,"Zack Martin",G,"Notre Dame"
2552487,"Amari Cooper",WR,Alabama
2553505,"La'el Collins",T,"Louisiana State"
2555224,"Ezekiel Elliott",RB,"Ohio State"
2555260,"Dak Prescott",QB,"Mississippi State"
2560735,"Michael Gallup",WR,"Colorado State"
2560934,"Connor Williams",G,Texas
2495448,"Randall Cobb",WR,Kentucky
2553710,"Deshazor Everett",SS,"Texas A&M"
2550433,"Kerry Hyder",DE,"Texas Tech"
2555531,"Anthony Brown",CB,Purdue
2560959,"Dorance Armstrong",DE,Kansas
2563033,"Steven Sims",WR,Kansas
2550262,"Joe Thomas",ILB,"South Carolina State"
2552602,"Christian Covington",DT,Rice
2555536,"Kavon Frazier",SS,"Central Michigan"
2533010,"Tony Bergstrom",G,Utah
2561019,"Geron Christian",T,Louisville
2557920,"Jourdan Lewis",CB,Michigan
2555461,"Wendell Smallwood",RB,"West Virginia"
2559193,"Blake Jarwin",TE,"Oklahoma State"
2562699,"Tony Pollard",RB,Memphis
2553434,"Devin Smith",WR,"Ohio State"
2558254,"Robert Davis",WR,"Georgia State"
2560936,"Ced Wilson",WR,"Boise State"
2561144,"Simeon Thomas",DB,Louisiana-Lafayette
2543654,"Cameron Fleming",T,Stanford
2560866,"Dalton Schultz",TE,Stanford
2539319,"Alex Okafor",DE,Texas
2540180,"Tyrann Mathieu",FS,"Louisiana State"
2543571,"Bashaud Breeland",CB,Clemson
2543592,"Anthony Hitchens",MLB,Iowa
2552629,"Frank Clark",DE,Michigan
2552686,"Damien Wilson",OLB,Minnesota
2555322,"Darron Lee",ILB,"Ohio State"
2556369,"Chris Jones",DT,"Mississippi State"
2560823,"Derrick Nnadi",NT,"Florida State"
2561417,"Charvarius Ward",CB,"Middle Tennessee"
2562761,"Juan Thornhill",DB,Virginia
2534241,"Derek Carrier",TE,Beloit
2553764,"Xavier Williams",DT,"Northern Iowa"
2532945,"Mitchell Schwartz",T,California
2539213,"Eric Fisher",T,"Central Michigan"
2540258,"Travis Kelce",TE,Cincinnati
2543457,"Sammy Watkins",WR,Clemson
2543816,"Laurent Duvernay-Tardif",G,McGill
2550512,"Damien Williams",RB,Oklahoma
2552478,"Blake Bell",TE,Oklahoma
2553452,"Austin Reiter",C,"South Florida"
2558125,"Patrick Mahomes",QB,"Texas Tech"
2559354,"Andrew Wylie",OT,"Eastern Michigan"
2562580,"Mecole Hardman",WR,Georgia
2555568,"Erik Harris",SS,"California, Pa."
2552240,"Cameron Erving",G,"Florida State"
2555478,"Demarcus Robinson",WR,Florida
79607,"LeSean McCoy",RB,Pittsburgh
2562938,"Keisean Nixon",CB,"South Carolina"
2555278,"Emmanuel Ogbah",DE,"Oklahoma State"
2555349,"Kendall Fuller",CB,"Virginia Tech"
2558080,"Joey Ivie",DT,Florida
2558185,"Tanoh Kpassagnon",DE,Villanova
2550257,"Daniel Sorensen",SS,"Brigham Young"
2561383,"Ben Niemann",LB,Iowa
2560844,"Byron Pringle",WR,"Kansas State"
2559054,"Nicholas Morrow",ILB,Greenville
2562393,"Keelan Doss",WR,California-Davis
2495340,"Anthony Sherman",FB,Connecticut
2532787,"Jeff Allen",G,Illinois
2562832,"Darwin Thompson",RB,"Utah State"
2562626,"Andrew Beck",FB,Texas
2550734,"Diontae Spencer",WR,"McNeese State"
2550284,"Trey Burton",TE,Florida
497026,"Ted Larsen",C,"North Carolina State"
2559485,"River Cracraft",WR,"Washington State"
2562412,"Dre'Mont Jones",DL,"Ohio State"
2555155,"Deon Bush",SS,Miami
2559485,"River Cracraft",WR,"Washington State"
2556274,"David Onyemata",DT,"Manitoba, Can."
2561023,"Will Clapp",C,"Louisiana State"
2553536,"Troy Hill",CB,Oregon
2553433,"Mario Edwards",DE,"Florida State"
2543465,"Teddy Bridgewater",QB,Louisville
2562391,"Greg Gaines",DT,Washington
2561043,"Jamil Demby",G,Maine
2539935,"Kiko Alonso",OLB,Oregon
2557870,"Taywan Taylor",WR,"Western Kentucky"
2558108,"Nate Hairston",CB,Temple
497328,"Demaryius Thomas",WR,"Georgia Tech"
2541316,"Ryan Griffin",TE,Connecticut
2553457,"Trevor Siemian",QB,Northwestern
2560722,"Foley Fatukasi",DT,Connecticut
2559018,"Pharaoh Brown",TE,Oregon
2550164,"T.J. Carrie",CB,Ohio
2560720,"Luke Falk",QB,"Washington State"
2562777,"Trevon Wesco",TE,"West Virginia"
2562818,"Kyle Phillips",DE,Tennessee
2562711,"Sheldrick Redwine",DB,Miami
2562605,"Mack Wilson",LB,Alabama
2559087,"Arthur Maulet",CB,Memphis
2550205,"Jonotthan Harrison",C,Florida
2559248,"Ricky Seals-Jones",TE,"Texas A&M"
2540287,"Rontez Miles",FS,"California (PA)"
2552471,"T.J. Yeldon",RB,Alabama
2560839,"Darius Phillips",CB,"Western Michigan"
2560979,"Andrew Brown",DE,Virginia
2541741,"LaRoy Reynolds",MLB,Virginia
2558801,"Jordan Evans",OLB,Oklahoma
497320,"Andre Roberts",WR,Citadel
2550930,"Todd Davis",ILB,"Sacramento State"
2560787,"Allen Lazard",WR,"Iowa State"
2563128,"Darrius Shepherd",WR,"North Dakota State"
2562956,"Juwann Winfree",WR,Colorado
2560755,"Josh Jackson",CB,Iowa
2562300,"Kingsley Keke",DL,"Texas A&M"
2553790,"DeVante Bausby",CB,"Pittsburg State"
2559299,"Evan Baylis",TE,Oregon
