nflid,displayname,position,playercollegename
2557031,"Lucas Patrick",G,Duke
2532992,"Jack Crawford",DE,"Penn State"
2539334,"Desmond Trufant",CB,Washington
2543850,"Ricardo Allen",SS,Purdue
2552301,"Vic Beasley",DE,Clemson
2552327,"Grady Jarrett",DT,Clemson
2555162,"Deion Jones",MLB,"Louisiana State"
2555255,"De'Vondre Campbell",OLB,Minnesota
2555543,"Keanu Neal",FS,Florida
2557872,"Takkarist McKinley",DE,UCLA
2558184,"Damontae Kazee",SS,"San Diego State"
2560830,"Isaiah Oliver",CB,Colorado
2495116,"Allen Bailey",DE,Miami
2552329,"Tyeler Davison",DT,"Fresno State"
2541431,"Kemal Ishmael",FS,"Central Florida"
2495140,"Adrian Clayborn",DE,Iowa
310,"Matt Ryan",QB,"Boston College"
71375,"Alex Mack",C,California
2495134,"James Carpenter",G,Alabama
2495234,"Luke Stocker",TE,Tennessee
2495454,"Julio Jones",WR,Alabama
2533040,"Mohamed Sanu",WR,Rutgers
2543583,"Devonta Freeman",RB,"Florida State"
2543758,"Jake Matthews",T,"Texas A&M"
2552340,"Jamon Brown",G,Louisville
2555415,"Austin Hooper",TE,Stanford
2562311,"Kaleb McGary",T,Washington
2559924,"Ito Smith",RB,"Southern Mississippi"
2560854,"Calvin Ridley",WR,Alabama
2561061,"Russell Gage",WR,"Louisiana State"
2550400,"Keith Smith",FB,"San Jose State"
2561132,"Foye Oluokun",LB,Yale
2562249,"John Cominsky",DE,"Charleston, W. Va."
2555371,"Joe Haeg",T,"North Dakota State"
2562955,"E.J. Speed",LB,"Tarleton State"
2556373,"Wes Schweitzer",G,"San Jose State"
2552418,"Justin Hardy",WR,"East Carolina"
2562650,"Jaylon Ferguson",LB,"Louisiana Tech"
2560935,"Darrel Williams",RB,LSU
2555542,"Jordan Lucas",FS,"Penn State"
2555169,"Reggie Ragland",ILB,Alabama
2560975,"Braxton Berrios",WR,Miami
2535718,"Damon Harrison",DT,"William Penn"
2540288,"Darius Slay",CB,"Mississippi State"
2541200,"Rashaan Melvin",CB,"Northern Illinois"
2543869,"Devon Kennard",OLB,"Southern California"
2550572,"Christian Jones",ILB,"Florida State"
2552262,"Quandre Diggs",SS,Texas
2552278,"Trey Flowers",DE,Arkansas
2553637,"Justin Coleman",CB,Tennessee
2555265,"A'Shawn Robinson",DT,Alabama
2557855,"Jarrad Davis",MLB,Florida
2560913,"Tracy Walker",DB,Louisiana-Lafayette
2532826,"Mike Daniels",DT,Iowa
2556641,"Romeo Okwara",DE,"Notre Dame"
2562755,"Jahlani Tavai",LB,Hawaii
2563197,"Kevin Strong",DT,"Texas-San Antonio"
2534830,"Tavon Wilson",SS,Illinois
2562395,"Will Harris",DB,"Boston College"
2556737,"Alex Ellis",TE,Tennessee
79860,"Matthew Stafford",QB,Georgia
2532884,"Marvin Jones",WR,California
2539340,"Rick Wagner",T,Wisconsin
2552633,"Jesse James",TE,"Penn State"
2555136,"Joe Dahl",G,"Washington State"
2555182,"Graham Glasgow",C,Michigan
2555206,"Taylor Decker",T,"Ohio State"
2558052,"Kenny Golladay",WR,"Northern Illinois"
2560765,"Kerryon Johnson",RB,Auburn
2561142,"Frank Ragnow",C,Arkansas
2562378,"T.J. Hockenson",TE,Iowa
2525323,"Andrew Sendejo",SS,Rice
2540201,"Akeem Spence",DT,Illinois
2557034,"Marvin Hall",WR,Washington
2560972,"Nick Bawden",FB,"San Diego State"
2556440,"J.D. McKissic",RB,"Arkansas State"
2543767,"Logan Thomas",TE,"Virginia Tech"
2559278,"Greg Ward",WR,Houston
2530556,"Kenny Wiggins",G,"Fresno State"
2561527,"Mike Ford",CB,"Southeast Missouri"
2649,"Danny Amendola",WR,"Texas Tech"
2562293,"Ty Johnson",RB,Maryland
2557924,"Jalen Reeves-Maybin",OLB,Tennessee
2561017,"Sean Chandler",DB,Temple
2555295,"Sterling Shepard",WR,Oklahoma
2562299,"Daniel Jones",QB,Duke
2562865,"Scott Miller",WR,"Bowling Green State"
2562736,"Darius Slayton",WR,Auburn
2561318,"Tae Davis",ILB,Chattanooga
2563257,"Tuzar Skipper",LB,Toledo
2557952,"Wayne Gallman",RB,Clemson
2553441,"David Mayo",MLB,"Texas State"
2562295,"Lonnie Johnson",DB,Kentucky
2559161,"Sean Culkin",TE,Missouri
2562286,"Tytus Howard",T,"Alabama State"
2562726,"Max Scharping",T,"Northern Illinois"
2552310,"Denzel Perryman",ILB,Miami
2562981,"Roderic Teamer",DB,Tulane
2561029,"Keke Coutee",WR,"Texas Tech"
2562324,"Charles Omenihu",DE,Texas
2495187,"Lance Kendricks",TE,Wisconsin
2562906,"Cullen Gillaspia",RB,"Texas A&M"
2560725,"Minkah Fitzpatrick",S,Alabama
2543493,"Jason Verrett",CB,"Texas Christian"
2559108,"Daniel Brunskill",OT,"San Diego State"
2562654,"Zach Gentry",TE,Michigan
2555313,"Juston Burris",S,"North Carolina State"
2550221,"Cornelius Lucas",T,"Kansas State"
2558136,"Fabian Moreau",CB,UCLA
2555288,"Nick Kwiatkoski",ILB,"West Virginia"
2561088,"Abdullah Anderson",DT,Bucknell
2556852,"J.P. Holtz",TE,Pittsburgh
2558111,"Treyvon Hester",DT,Toledo
2556363,"Kamu Grugier-Hill",OLB,"Eastern Illinois"
2561230,"Alex Light",T,Richmond
2560887,"Chandon Sullivan",CB,"Georgia State"
2561486,"Craig James",CB,"Southern Illinois"
2555313,"Juston Burris",S,"North Carolina State"
2562308,"Daylon Mack",DT,"Texas A&M"
2562890,"Jakob Johnson",TE,Tennessee
2556646,"Kyle Peko",DT,"Oregon State"
2539308,"Matt Barkley",QB,"Southern California"
2506420,"Richie Incognito",G,Nebraska
2495228,"Jabaal Sheard",DE,Pittsburgh
2495483,"Corey Liuget",DT,Illinois
2561131,"George Odum",FS,"Central Arkansas"
2532974,"Kyle Wilber",OLB,"Wake Forest"
2562646,"Ashton Dulin",WR,Malone
2558145,"David Sharpe",T,Florida
2557882,"Taco Charlton",DE,Michigan
2557531,"Troymaine Pope",RB,"Jacksonville State"
2562705,"Isaiah Prince",T,"Ohio State"
2552654,"Geremy Davis",WR,Connecticut
2561336,"Trent Harris",LB,Miami
2556617,"Doug Middleton",S,"Appalachian State"
2558071,"Isaiah Ford",WR,"Virginia Tech"
2559227,"Andre Patton",WR,Rutgers
2535693,"Johnson Bademosi",CB,Stanford
2562617,"Nasir Adderley",FS,Delaware
2562765,"Drue Tranquill",LB,"Notre Dame"
2556148,"Jatavis Brown",OLB,Akron
2562823,"Cortez Broughton",DT,Cincinnati
2495240,"Tyrod Taylor",QB,"Virginia Tech"
2560846,"Scott Quessenberry",C,UCLA
2562697,"Trey Pipkins",T,"Sioux Falls"
2562916,"Wes Martin",G,Indiana
2555312,"Noah Spence",DE,"Eastern Kentucky"
2561624,"Garrett Dickerson",TE,Northwestern
2563062,"Jon Hilliman",RB,Rutgers
2560736,"Nick Gates",G,Nebraska
2562660,"Dwayne Haskins",QB,"Ohio State"
2533459,"Nate Stupar",ILB,"Penn State"
2563313,"Troy Reeder",LB,Delaware
2555177,"Mackensie Alexander",CB,Clemson
2558033,"Ben Gedeon",OLB,Michigan
81284,"Chase Daniel",QB,Missouri
2560746,"Mike Hughes",CB,"Central Florida"
2558848,"Pat Elflein",G,"Ohio State"
2543563,"Kevin Pierre-Louis",ILB,"Boston College"
2562945,"Jonathan Harris",DE,Lindenwood
2555214,"Laquon Treadwell",WR,Mississippi
2559157,"Rashaad Coward",OT,"Old Dominion"
2560744,"Jalyn Holmes",DT,"Ohio State"
2555242,"Sheldon Rankins",DT,Louisville
2558928,"Austin Carr",WR,Northwestern
2495485,"Robert Quinn",DE,"North Carolina"
2563155,"Deonte Harris",WR,Assumption
2562663,"Trysten Hill",DT,"Central Florida"
2539336,"Tavon Austin",WR,"West Virginia"
2562273,"Carl Granderson",DE,Wyoming
2532431,"Craig Robertson",OLB,"North Texas"
2562668,"Lil'Jordan Humphrey",WR,Texas
2539259,"Patrick Omameh",G,Michigan
2562432,"Joe Jackson",DE,Miami
2555289,"Nick Vannett",TE,"Ohio State"
2558786,"Brandon Wilson",S,Houston
2550196,"Jay Elliott",LB,Toledo
2541199,"Luke Willson",TE,Rice
2539931,"Ezekiel Ansah",DE,"Brigham Young"
2560768,"Jamarco Jones",T,"Ohio State"
2558856,"David Moore",WR,"East Central"
2558875,"Johnny Mundt",TE,Oregon
744,"Calais Campbell",DE,Miami
2495478,"Marcell Dareus",DT,Alabama
2539237,"D.J. Hayden",CB,Houston
2541162,"A.J. Bouye",CB,"Central Florida"
2555329,"Myles Jack",OLB,UCLA
2555421,"Yannick Ngakoue",DE,Maryland
2556711,"Jarrod Wilson",SS,Michigan
2561008,"Ronnie Harrison",DB,Alabama
2561340,"Tre Herndon",CB,Vanderbilt
2562619,"Josh Allen",DE,Kentucky
2562954,"Quincy Williams",LB,"Murray State"
2561177,"Kyle Allen",QB,Houston
2561184,"Reggie Bonnafon",RB,Louisville
2543729,"Brandon Linder",C,Miami
2550589,"Andrew Norwell",G,"Ohio State"
2552330,"A.J. Cann",G,"South Carolina"
2552652,"Chris Conley",WR,Georgia
2553318,"James O'Shaughnessy",TE,"Illinois State"
2557895,"Dede Westbrook",WR,Oklahoma
2557973,"Leonard Fournette",RB,"Louisiana State"
2558004,"Cam Robinson",T,Alabama
2561018,"D.J. Chark",WR,"Louisiana State"
2562756,"Jawaan Taylor",T,Florida
2562796,"Gardner Minshew",QB,"Washington State"
2532871,"Bruce Irvin",LB,"West Virginia"
2539230,"Abry Jones",NT,Georgia
2543475,"Marqise Lee",WR,USC
2552355,"Cedric Ogbuehi",OT,"Texas A&M"
2555243,"Vernon Butler",DT,"Louisiana Tech"
2560758,"Leon Jacobs",LB,Wisconsin
2556365,"Seth DeValve",TE,Princeton
2560853,"Will Richardson",T,"North Carolina State"
2553454,"Geoff Swaim",TE,Texas
2559153,"Keelan Cole",WR,"Kentucky Wesleyan"
2560983,"Taven Bryan",DT,Florida
2557839,"Dawuane Smoot",DE,Illinois
2550606,"Bryan Witzmann",T,"South Dakota State"
2533016,"Najee Goode",OLB,"West Virginia"
2562606,"Andrew Wingard",SS,Wyoming
2562622,"Ryquell Armstead",RB,Temple
2539223,"Johnathan Cyprien",SS,"Florida International"
2562730,"Kendall Sheffield",DB,"Ohio State"
2561622,"Jaeden Graham",TE,Yale
2558114,"Roderick Johnson",OT,"Florida State"
2556456,"Andrew Adams",FS,Connecticut
2560051,"Justin Watson",WR,Pennsylvania
497326,"Golden Tate",WR,"Notre Dame"
2562816,"Josiah Tauaefa",LB,"Texas-San Antonio"
2562630,"Kris Boyd",CB,Texas
2560961,"Marcell Ateman",WR,"Oklahoma State"
2555353,"Alex Lewis",G,Nebraska
2562258,"Chuma Edoga",T,USC
2557884,"Jordan Willis",DE,"Kansas State"
2561427,"Vyncint Smith",WR,Limestone
2307,"Orlando Scandrick",CB,"Boise State"
2557842,"Daeshon Hall",DE,"Texas A&M"
2307,"Orlando Scandrick",CB,"Boise State"
2495328,"Bilal Powell",RB,Louisville
2505076,"Josh McCown",QB,"Sam Houston State"
2543751,"David Fales",QB,"San Jose State"
2562648,"T.J. Edwards",LB,Wisconsin
2541696,"Jordan Dangerfield",S,Towson
2530491,"Josh Bynes",ILB,Auburn
2561129,"Zach Sieler",DT,"Ferris State"
2555171,"Tyler Matakevich",ILB,Temple
2563258,"Devlin Hodges",QB,Samford
2556836,"Duke Williams",WR,Auburn
2556537,"Reggie Gilbert",LB,Arizona
2550132,"Taylor Lewan",T,Michigan
2562641,"Nate Davis",G,"North Carolina-Charlotte"
494261,"Kurt Coleman",SS,"Ohio State"
2550145,"Maurice Alexander",LB,"Utah State"
2563364,"Ryan Bates",T,"Penn State"
497123,"Colt McCoy",QB,Texas
2551359,"Jerome Cunningham",TE,"Southern Connecticut State"
2562746,"Jarrett Stidham",QB,Auburn
2562787,"Joejuan Williams",CB,Vanderbilt
2559396,"Fred Brown",WR,"Mississippi State"
2555432,"Andy Janovich",RB,Nebraska
2561704,"A.J. Johnson",MLB,Tennessee
2552469,"Melvin Gordon",RB,Wisconsin
2561040,"Duke Dawson",DB,Florida
2561005,"Davontae Harris",CB,"Illinois State"
2563129,"Shakial Taylor",DB,Kansas
2562757,"Marvell Tell",DB,"Southern California"
2533059,"Morris Claiborne",CB,"Louisiana State"
2561348,"Ryan Hunter",T,"Bowling Green State"
2562723,"Khalen Saunders",DT,"Western Illinois"
2561293,"Deon Yelder",TE,"Western Kentucky"
2560848,"Martinas Rankin",T,"Mississippi State"
2543741,"Jimmie Ward",FS,"Northern Illinois"
2560988,"Antonio Callaway",WR,Florida
2549982,"Garrett Gilbert",QB,"Southern Methodist"
2562740,"Kaden Smith",TE,Stanford
2539242,"Earl Watford",G,"James Madison"
2550416,"Josh Wells",T,"James Madison"
2560243,"Brandon Zylstra",WR,"Concordia, Minn"
2562556,"Jamel Dean",CB,Auburn
2535613,"L.J. Fort",ILB,"Northern Iowa"
2562504,"Stanley Morgan",WR,Nebraska
2556662,"Alex Redmond",G,UCLA
2555248,"Jihad Ward",DT,Illinois
2559053,"Torry McTyer",CB,"Nevada-Las Vegas"
2555185,"Joey Hunt",C,"Texas Christian"
2558956,"Jacob Hollister",TE,Wyoming
2562233,"Marquise Blair",FS,Utah
2560892,"Wyatt Teller",G,"Virginia Tech"
2552396,"Ben Koyack",TE,"Notre Dame"
2539662,"Lerentee McCray",DE,Florida
2543851,"Phillip Gaines",CB,Rice
2543638,"De'Anthony Thomas",WR,Oregon
2495311,"Terrell McClain",DT,"South Florida"
2556214,"Tyreek Hill",WR,"West Alabama"
2561157,"Keion Crossen",DB,"Western Carolina"
2562649,"Rashad Fenton",CB,"South Carolina"
2563220,"Nik Needham",DB,"Texas-El Paso"
2550272,"Albert Wilson",WR,"Georgia State"
2563066,"Hale Hentges",TE,Alabama
2561394,"Jeremy Reaves",DB,"South Alabama"
2560958,"Troy Apke",DB,"Penn State"
2562325,"Natrez Patrick",LB,Georgia
2543739,"Dontae Johnson",CB,"North Carolina State"
2561524,"Dalyn Dawkins",RB,"Colorado State"
2543717,"Jeremiah Attaochu",OLB,"Georgia Tech"
2532956,"Ryan Tannehill",QB,"Texas A&M"
2562680,"Brandon Knight",T,Indiana
2555154,"Darian Thompson",FS,"Boise State"
2532816,"Tom Compton",G,"South Dakota"
2541695,"Brandon Copeland",LB,Pennsylvania
496814,"Albert McClellan",OLB,Marshall
2563267,"Ventell Bryant",WR,Temple
2550767,"C.J. Goodwin",CB,"California, Pa."
2555344,"Artie Burns",CB,Miami
2562578,"Emeke Egbule",LB,Houston
2560984,"Oren Burks",LB,Vanderbilt
2560962,"John Atkins",NT,Georgia
2563193,"C.J. Moore",DB,Mississippi
2558821,"Jamal Agnew",CB,"San Diego"
2562399,"Nick Allegretti",G,Illinois
2507282,"Matt Moore",QB,"Oregon State"
2495250,"Stefen Wisniewski",G,"Penn State"
2559200,"Joe Jones",LB,Northwestern
2561370,"Trey Marshall",DB,"Florida State"
2560921,"Armani Watts",DB,"Texas A&M"
2559208,"Ryan Lewis",CB,Pittsburgh
2562245,"Shaq Calhoun",G,"Mississippi State"
2552586,"Tyler Kroft",TE,Rutgers
2553679,"Chris Reed",G,"Minn. State-Mankato"
2543733,"Gabe Jackson",G,"Mississippi State"
2563217,"Justin Phillips",LB,"Oklahoma State"
2539275,"Mike Glennon",QB,"North Carolina State"
2561187,"Tim Boyle",QB,"Eastern Kentucky"
2562784,"Dexter Williams",RB,"Notre Dame"
2562940,"Ka'Dar Hollman",CB,Toledo
2556758,"Rolan Milligan",DB,Toledo
2552280,"Carl Davis",NT,Iowa
2559372,"Dan Skipper",G,Arkansas
2555419,"Pharoh Cooper",WR,"South Carolina"
2562669,"Andy Isabella",WR,Massachusetts
2495504,"Patrick Peterson",CB,"Louisiana State"
2555335,"Jonathan Bullard",DE,Florida
2563339,"Jalen Thompson",DB,"Washington State"
2558886,"Darrell Daniels",TE,Washington
2495218,"Brooks Reed",OLB,Arizona
2550575,"Zach Kerr",NT,Delaware
2556804,"Antonio Hamilton",CB,"South Carolina State"
2563066,"Hale Hentges",TE,Alabama
2552636,"Michael Burton",FB,Rutgers
2543500,"Jordan Matthews",WR,Vanderbilt
2562733,"Jeffery Simmons",DT,"Mississippi State"
2562799,"David Long",LB,"West Virginia"
2553911,"T.Y. McGill",DT,"North Carolina State"
2559385,"Dan Arnold",TE,Wisconsin-Platteville
2553631,"Zach Zenner",RB,"South Dakota"
2555238,"Jarran Reed",DT,Alabama
4365,"Brandon Carr",CB,"Grand Valley State"
2552488,"Marcus Peters",CB,Washington
2506122,"Benjamin Watson",TE,Georgia
2553744,"Eric Tomlinson",TE,"Texas-El Paso"
2562281,"Damien Harris",RB,Alabama
2555383,"Jalen Mills",CB,"Louisiana State"
2561338,"Bruce Hector",DT,"South Florida"
2557967,"Duke Riley",OLB,"Louisiana State"
2563200,"Anthony Rush",NT,Alabama-Birmingham
2562667,"Albert Huggins",DT,Clemson
2561146,"Boston Scott",RB,"Louisiana Tech"
497032,"Russell Okung",T,"Oklahoma State"
2539270,"Sylvester Williams",DT,"North Carolina"
2558062,"Gareon Conley",CB,"Ohio State"
2505708,"Mike Adams",FS,Delaware
2507358,"Chris Clark",OT,"Southern Mississippi"
2557863,"Zay Jones",WR,"East Carolina"
2562670,"Andre James",T,UCLA
2543872,"Nevin Lawson",CB,"Utah State"
2556489,"James Burgess",OLB,Louisville
2558925,"Austin Calitro",LB,Villanova
2540201,"Akeem Spence",DT,Illinois
2562591,"Joe Giles-Harris",LB,Duke
2562693,"Josh Oliver",TE,"San Jose State"
2541135,"Cody Davis",FS,"Texas Tech"
2559015,"Breon Borders",CB,Duke
2553536,"Troy Hill",CB,Oregon
2555280,"Jalen Ramsey",CB,"Florida State"
2562260,"David Edwards",T,Wisconsin
2555268,"Anthony Zettel",DT,"Penn State"
2560829,"Obo Okoronkwo",LB,Oklahoma
2561469,"Darious Williams",CB,Alabama-Birmingham
2556381,"Mike Thomas",WR,"Southern Mississippi"
2559286,"Krishawn Hogan",WR,"Marian (Ind.)"
2553631,"Zach Zenner",RB,"South Dakota"
2552588,"Brett Hundley",QB,UCLA
2556764,"Kevin Peterson",CB,"Oklahoma State"
2556118,"Dwayne Washington",RB,Washington
496843,"Jason Pierre-Paul",OLB,"South Florida"
497322,"Emmanuel Sanders",WR,"Southern Methodist"
2508058,"Sam Young",T,"Notre Dame"
2550493,"Tyler Larsen",C,"Utah State"
2561006,"Marcell Harris",FS,Florida
2558979,"Nick Mullens",QB,"Southern Mississippi"
2552657,"DeAndrew White",WR,Alabama
2562725,"Jordan Scarlett",RB,Florida
2556504,"Trevon Coley",DT,"Florida Atlantic"
2533040,"Mohamed Sanu",WR,Rutgers
2550242,"Mike Pennel",DT,"Colorado State-Pueblo"
2555336,"Robert Nkemdiche",DT,Mississippi
2550235,"Roosevelt Nix",FB,"Kent State"
2562241,"Isaiah Buggs",DE,Alabama
2553711,"B.J. Finney",C,"Kansas State"
2559325,"Trey Edmunds",RB,Maryland
2555230,"Kenyan Drake",RB,Alabama
2561025,"Mason Cole",C,Michigan
2562686,"Joshua Miles",T,"Morgan State"
2533457,"Alfred Morris",RB,"Florida Atlantic"
2560812,"Steven Mitchell",WR,"Southern California"
2558017,"Vincent Taylor",DT,"Oklahoma State"
2556661,"Kalif Raymond",WR,"Holy Cross"
2558933,"Bryan Cox",DE,Florida
2552397,"Clive Walford",TE,Miami
2562887,"Keaton Sutherland",G,"Texas A&M"
2562515,"Xavier Crawford",DB,"Central Michigan"
2560873,"Nathan Shepherd",DT,"Fort Hays State"
2556735,"Ken Crawley",CB,Colorado
2553781,"James Vaughters",LB,Stanford
2543765,"Brent Urban",DE,Virginia
494289,"Sherrick McManis",CB,Northwestern
2555381,"DeAndre Houston-Carson",FS,"William & Mary"
2560964,"Genard Avery",LB,Memphis
2550277,"Josh Andrews",OG,"Oregon State"
81294,"Brian Hoyer",QB,"Michigan State"
2563300,"Tony Brooks-James",RB,Oregon
2561032,"Tyrell Crosby",T,Oregon
2540013,"Will Compton",ILB,Nebraska
2495311,"Terrell McClain",DT,"South Florida"
2561004,"Da'Shawn Hand",DL,Alabama
2555315,"Miles Killebrew",SS,"Southern Utah"
2555460,"Paul Perkins",RB,UCLA
2561215,"Tanner Hudson",TE,"Southern Arkansas"
2539932,"Jamar Taylor",CB,"Boise State"
2555365,"Brandon Allen",QB,Arkansas
2563044,"Stephen Carlson",TE,Princeton
2559132,"Eli Ankou",DT,UCLA
2562860,"Jason Moore",WR,Findlay
2550569,"Ryan Groy",G,Wisconsin
2562228,"Corey Ballentine",CB,Washburn
2552486,"Leonard Williams",DE,"Southern California"
2553815,"Justin March-Lillard",OLB,Akron
2543769,"Deone Bucannon",ILB,"Washington State"
2557917,"Kareem Hunt",RB,Toledo
2562753,"Sione Takitaki",LB,"Brigham Young"
2561653,"KhaDarel Hodge",WR,"Prairie View"
2562744,"Jace Sternberger",TE,"Texas A&M"
2539306,"Wes Horton",DE,"Southern California"
2552605,"Ibraheim Campbell",FS,Northwestern
2499257,"Colin Jones",FS,"Texas Christian"
2558968,"Cole Luke",CB,"Notre Dame"
2562808,"Olamide Zaccheaus",WR,Virginia
2558112,"Brian Hill",HB,Wyoming
2539219,"Blidi Wreh-Wilson",CB,Connecticut
2561443,"Christian Blake",WR,"Northern Illinois"
2539289,"Kenjon Barner",RB,Oregon
2552366,"Ty Sambrailo",T,"Colorado State"
2561206,"J.T. Gray",DB,"Mississippi State"
2562429,"Michael Dogbe",DE,Temple
2495101,"Sam Acho",OLB,Texas
2556770,"Pete Robertson",LB,"Texas Tech"
2558273,"T.J. Logan",RB,"North Carolina"
2541192,"Chris Banjo",SS,"Southern Methodist"
2556855,"Marcus Johnson",WR,Texas
2555227,"Jonathan Williams",RB,Arkansas
2563296,"Patrick Laird",RB,California
2560828,"Chukwuma Okorafor",T,"Western Michigan"
2561028,"Austin Corbett",T,Nevada
2507617,"Michael Bennett",DE,"Texas A&M"
2556557,"Rashod Hill",T,"Southern Mississippi"
2562773,"Armon Watts",DT,Arkansas
2560741,"Holton Hill",CB,Texas
2562985,"Davion Davis",WR,"Sam Houston State"
2552262,"Quandre Diggs",SS,Texas
2534846,"Neiko Thorpe",CB,Auburn
2534820,"Garrett Celek",TE,"Michigan State"
2558121,"Elijah Lee",LB,"Kansas State"
2556572,"Tevin Jones",WR,Memphis
2506925,"Domata Peko Sr.",NT,"Michigan State"
2543812,"Justin Ellis",DT,"Louisiana Tech"
2506925,"Domata Peko Sr.",NT,"Michigan State"
2561147,"Cornell Armstrong",CB,"Southern Mississippi"
2543497,"AJ McCarron",QB,Alabama
2561344,"Buddy Howell",RB,"Florida Atlantic"
2543834,"Bennett Jackson",CB,"Notre Dame"
2540140,"Barkevious Mingo",OLB,"Louisiana State"
2560774,"Peter Kalambayi",LB,Stanford
2561538,"A.J. Moore",DB,Mississippi
2562304,"Greg Little",T,Mississippi
2559321,"Jamal Carter",SS,Miami
2561282,"Jacob Tuioti-Mariner",DT,UCLA
2562797,"Qadree Ollison",RB,Pittsburgh
2532842,"Nick Foles",QB,Arizona
2562292,"Gary Jennings",WR,"West Virginia"
2562270,"Myles Gaskin",RB,Washington
2553520,"Nick Easton",G,Harvard
2508084,"Patrick Robinson",CB,"Florida State"
2562468,"Blessuan Austin",CB,Rutgers
2560949,"Josh Adams",RB,"Notre Dame"
2543501,"Aaron Colvin",CB,Oklahoma
2540138,"Damontre Moore",DE,"Texas A&M"
2543474,"Darqueze Dennard",CB,"Michigan State"
2558929,"Cethan Carter",TE,Nebraska
2562651,"Ryan Finley",QB,"North Carolina State"
2539943,"D.J. Swearinger",FS,"South Carolina"
2558982,"Hardy Nickerson",MLB,Illinois
2543500,"Jordan Matthews",WR,Vanderbilt
2562659,"N'Keal Harry",WR,"Arizona State"
2558174,"Rudy Ford",S,Auburn
2559066,"Gehrig Dieter",WR,Alabama
2560896,"Jordan Thomas",TE,"Mississippi State"
2563038,"Ahmad Gooden",LB,Samford
2550599,"Scott Simonson",TE,Assumption
2561643,"Sam Beal",DB,"Western Michigan"
2562414,"Julian Love",CB,"Notre Dame"
2562768,"Andrew Van Ginkel",LB,Wisconsin
2556486,"Brandin Bryant",DT,"Florida Atlantic"
2562601,"Gerald Willis",DT,"Miami (Fla.)"
2558933,"Bryan Cox",DE,Florida
2562276,"Porter Gustin",DE,"Southern California"
2558857,"Adrian Colbert",FS,Miami
2556700,"Jason Vander Laan",TE,"Ferris State"
2543614,"Donte Moncrief",WR,Mississippi
2556700,"Jason Vander Laan",TE,"Ferris State"
2539288,"Dion Jordan",DE,Oregon
2562675,"Isaiah Johnson",CB,Houston
2543751,"David Fales",QB,"San Jose State"
2555178,"Maurice Canady",CB,Virginia
2562390,"Amani Oruwariye",CB,"Penn State"
2555262,"Jeff Driskel",QB,"Louisiana Tech"
2560865,"Bo Scarbrough",RB,Alabama
2562691,"Isaac Nauta",TE,Georgia
2562240,"Austin Bryant",DL,Clemson
2539331,"Oday Aboushi",OG,Virginia
2563031,"Ryan Bee",DE,Marshall
2559230,"Carroll Phillips",DE,Illinois
2552403,"Nick O'Leary",TE,"Florida State"
2562869,"Khari Blasingame",RB,Vanderbilt
2562717,"Dontavius Russell",DT,Auburn
2563282,"Charles Jones",TE,Tulane
2560776,"Joshua Kalu",DB,Nebraska
2559034,"Donald Payne",MLB,"Stetson University"
2559263,"Tyrone Swoopes",TE,Texas
2552582,"Jay Ajayi",RB,"Boise State"
2553456,"Akeem King",CB,"San Jose State"
2560596,"Matt Pryor",G,"Texas Christian"
2562946,"Marcus Epps",SS,Wyoming
2562579,"Bobby Evans",T,Oklahoma
2562798,"David Long",CB,Michigan
